F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Var_Threshold,resampling
0.7816,0.7829,0.7833,0.8004,RF,160,StandardScaler,kbf,TRUE,TRUE
0.766,0.7775,0.7575,0.7886,MLP,190,PowerTransformer,rf,FALSE,FALSE
0.7864,0.7661,0.8101,0.7993,SVM,160,QuantileTransformer_Uniform,kbf,TRUE,TRUE
0.7836,0.7748,0.7958,0.7993,KNN,330,QuantileTransformer_Uniform,rf,FALSE,FALSE
0.7678,0.7254,0.8251,0.7713,LGR,90,Normalisation,pca,FALSE,FALSE
0.7187,0.7192,0.7204,0.743,DT,90,Min-maxScaler,rf,TRUE,TRUE
0.7858,0.7787,0.7958,0.8022,R,170,QuantileTransformer_Uniform,kbf,FALSE,FALSE
0.7785,0.7889,0.7717,0.8001,XG,400,Max-absoluteScaler,kbf,FALSE,FALSE
0.78,0.7303,0.84,0.7835,GPC,490,Normalisation,kbf,FALSE,FALSE
0.7621,0.7504,0.7771,0.7791,ADA,220,QuantileTransformer_Normal,kbf,TRUE,TRUE
0.7797,0.7882,0.7745,0.8012,GB,200,,kbf,TRUE,FALSE
