R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Var_Threshold
0.3163,74.6337,119.812,41.7657,RF,388,,TRUE
0.316,74.6585,119.8363,41.7697,RF,388,StandardScaler,TRUE
0.3163,74.6499,119.8191,41.7717,RF,388,Min-maxScaler,TRUE
0.3167,74.6191,119.7842,41.7191,RF,388,Max-absoluteScaler,TRUE
0.3161,74.6431,119.8277,41.6968,RF,388,RobustScaler,TRUE
0.3166,74.5867,119.7936,41.7544,RF,388,PowerTransformer,TRUE
0.318,74.5744,119.6666,41.7375,RF,388,QuantileTransformer_Uniform,TRUE
0.3182,74.5098,119.6488,41.7759,RF,388,QuantileTransformer_Normal,TRUE
-419348.5189,13624.0661,43183.3644,2196.7927,MLP,388,,TRUE
-1.9421,133.3009,236.7963,76.8542,MLP,388,StandardScaler,TRUE
-1.1083,123.3243,204.0643,73.7329,MLP,388,Min-maxScaler,TRUE
-1.0624,120.4738,202.3271,71.6289,MLP,388,Max-absoluteScaler,TRUE
-1.2328,120.8205,208.2614,69.0201,MLP,388,RobustScaler,TRUE
-0.0588,107.9718,147.7629,80.6353,MLP,388,PowerTransformer,TRUE
-0.0069,95.1703,143.845,61.093,MLP,388,QuantileTransformer_Uniform,TRUE
-0.1113,106.6841,150.7923,77.4339,MLP,388,QuantileTransformer_Normal,TRUE
-0.2145,79.89,159.647,16.3375,SVM,388,,TRUE
-0.17,75.5603,156.701,13.0444,SVM,388,StandardScaler,TRUE
-0.2085,79.3794,159.2457,15.5734,SVM,388,Min-maxScaler,TRUE
-0.2085,79.4176,159.2486,15.7132,SVM,388,Max-absoluteScaler,TRUE
-0.186,77.4509,157.7559,16.2892,SVM,388,RobustScaler,TRUE
-0.1138,72.4434,152.9372,12.6711,SVM,388,PowerTransformer,TRUE
-0.1358,73.6955,154.4398,12.48,SVM,388,QuantileTransformer_Uniform,TRUE
-0.1873,77.0993,157.8737,12.995,SVM,388,QuantileTransformer_Normal,TRUE
0.1823,80.0338,130.7871,48.2963,KNN,388,,TRUE
0.2403,80.4016,126.2876,50.9375,KNN,388,StandardScaler,TRUE
0.2024,83.8199,129.5531,55.4988,KNN,388,Min-maxScaler,TRUE
0.1976,83.9545,129.9013,56.0513,KNN,388,Max-absoluteScaler,TRUE
0.2396,78.7417,126.069,48.795,KNN,388,RobustScaler,TRUE
0.2876,77.7629,122.2585,49.3237,KNN,388,PowerTransformer,TRUE
0.3019,76.6987,120.7864,46.9338,KNN,388,QuantileTransformer_Uniform,TRUE
0.2458,80.358,125.6664,52.8162,KNN,388,QuantileTransformer_Normal,TRUE
-4.1608,228.0645,319.6044,127.025,LGR,388,,TRUE
0.0709,70.3781,139.014,14.45,LGR,388,StandardScaler,TRUE
-0.1376,76.7812,154.3888,14.8125,LGR,388,Min-maxScaler,TRUE
-0.1402,76.9784,154.5673,15.4625,LGR,388,Max-absoluteScaler,TRUE
-0.0044,73.9881,144.4843,15.8875,LGR,388,RobustScaler,TRUE
0.076,70.3125,138.6227,14.2875,LGR,388,PowerTransformer,TRUE
0.0552,69.2842,140.3009,13.1375,LGR,388,QuantileTransformer_Uniform,TRUE
-0.0263,73.1323,144.5395,15.4125,LGR,388,QuantileTransformer_Normal,TRUE
-0.3133,92.6576,164.0825,30.2625,DT,388,,TRUE
-0.3076,92.4568,163.8017,30.275,DT,388,StandardScaler,TRUE
-0.3126,92.5756,164.0378,29.9875,DT,388,Min-maxScaler,TRUE
-0.3108,92.5375,163.9635,30.1375,DT,388,Max-absoluteScaler,TRUE
-0.3157,92.7854,164.2559,30.2,DT,388,RobustScaler,TRUE
-0.2515,90.2216,160.1973,29.0625,DT,388,PowerTransformer,TRUE
-0.3006,92.2224,163.4416,30.05,DT,388,QuantileTransformer_Uniform,TRUE
-0.2606,90.9027,161.0574,29.6625,DT,388,QuantileTransformer_Normal,TRUE
-4617.5868,3397.8472,6554.4698,2380.1835,R,388,,TRUE
-0.6576,103.6549,180.7301,60.716,R,388,StandardScaler,TRUE
0.1729,81.4455,131.4313,53.0124,R,388,Min-maxScaler,TRUE
0.1671,81.5637,131.8673,53.2199,R,388,Max-absoluteScaler,TRUE
-1.612,124.3877,229.341,66.909,R,388,RobustScaler,TRUE
0.1577,94.7156,132.2809,71.4278,R,388,PowerTransformer,TRUE
0.2749,83.8725,123.2318,59.5722,R,388,QuantileTransformer_Uniform,TRUE
0.0829,97.5888,137.7186,72.6941,R,388,QuantileTransformer_Normal,TRUE
0.2737,72.7233,123.0231,35.277,XGB,388,,TRUE
0.276,72.6656,122.8296,35.3121,XGB,388,StandardScaler,TRUE
0.2773,72.5803,122.714,35.0967,XGB,388,Min-maxScaler,TRUE
0.2784,72.5288,122.6017,35.0948,XGB,388,Max-absoluteScaler,TRUE
0.2737,72.709,123.0126,35.2595,XGB,388,RobustScaler,TRUE
0.2705,73.0676,123.2439,35.4248,XGB,388,PowerTransformer,TRUE
0.2715,72.9302,123.1437,35.3627,XGB,388,QuantileTransformer_Uniform,TRUE
0.2779,72.5962,122.596,35.3639,XGB,388,QuantileTransformer_Normal,TRUE
-0.3412,84.4013,167.6665,17.5,GPC,388,,TRUE
-0.341,84.3668,167.6352,17.4364,GPC,388,StandardScaler,TRUE
-0.0123,89.7983,145.737,50.2996,GPC,388,Min-maxScaler,TRUE
-0.0221,90.9939,146.4137,51.7486,GPC,388,Max-absoluteScaler,TRUE
-0.3412,84.4008,167.6663,17.5,GPC,388,RobustScaler,TRUE
-0.3407,84.3593,167.6147,17.5,GPC,388,PowerTransformer,TRUE
-0.2145,78.9002,159.8026,15.7008,GPC,388,QuantileTransformer_Uniform,TRUE
-0.3412,84.385,167.6639,17.5,GPC,388,QuantileTransformer_Normal,TRUE
0.2633,94.437,124.073,72.2525,ADA,388,,TRUE
0.2512,95.5426,125.0196,73.9219,ADA,388,StandardScaler,TRUE
0.2561,94.868,124.571,73.0004,ADA,388,Min-maxScaler,TRUE
0.2613,94.5276,124.2266,73.2744,ADA,388,Max-absoluteScaler,TRUE
0.252,94.9522,124.8079,73.3041,ADA,388,RobustScaler,TRUE
0.2579,94.3009,124.5674,70.827,ADA,388,PowerTransformer,TRUE
0.2687,94.1548,123.6529,73.0609,ADA,388,QuantileTransformer_Uniform,TRUE
0.2637,94.1334,124.0385,71.9402,ADA,388,QuantileTransformer_Normal,TRUE
0.3142,73.6637,119.9073,39.1229,GB,388,,TRUE
0.3144,73.6299,119.8839,39.0181,GB,388,StandardScaler,TRUE
0.3146,73.6707,119.8849,39.0194,GB,388,Min-maxScaler,TRUE
0.3148,73.6432,119.8581,39.0151,GB,388,Max-absoluteScaler,TRUE
0.3139,73.6936,119.9388,39.1646,GB,388,RobustScaler,TRUE
0.3117,73.6825,120.1148,38.6641,GB,388,PowerTransformer,TRUE
0.3134,73.7593,119.9713,39.1989,GB,388,QuantileTransformer_Uniform,TRUE
0.3172,73.4618,119.6492,38.9254,GB,388,QuantileTransformer_Normal,TRUE
