Feature Selection Intensity,MAE
330,83.87247500000001
320,83.87247500000001
310,83.8724
300,83.872775
290,83.873025
280,83.87295
270,83.8733
260,83.871875
250,83.874725
240,83.87345
230,83.87372500000001
220,83.8763
210,83.874925
200,83.876075
190,83.88072500000001
180,83.89287499999999
170,83.93207500000001
160,83.94069999999999
150,83.97
140,83.995375
130,84.15955
120,84.3538
110,84.5595
100,84.729525
90,84.587525
80,84.6922
70,85.099825
60,85.08955
50,84.1281
40,83.837375
30,83.076175
20,81.74044999999998
10,83.49527499999999
